AX,AY,AZ,Activity
-0.38,-0.94,-0.62,Falling Side
0.28,-0.98,-0.02,Falling Side
0.56,-1.37,0.07,Falling Side
-0.09,-0.8,-0.34,Falling Side
0.15,-0.67,-0.02,Falling Side
0.29,-0.85,-0.18,Falling Side
0.13,-0.85,-0.19,Falling Side
0.48,-0.91,-0.06,Falling Side
0.57,-1.05,-0.44,Falling Side
0.46,-1.2,-0.09,Falling Side
-0.41,-1.75,-0.36,Falling Side
-0.07,-0.94,0.12,Falling Side
0.12,-0.54,-0.27,Falling Side
0.07,-0.37,-0.35,Falling Side
-0.42,-0.75,-0.54,Falling Side
0.25,-1.13,-0.82,Falling Side
0.78,-0.14,0.5,Falling Side
-0.4,-0.57,-0.61,Falling Side
-0.15,-0.15,-0.51,Falling Side
-0.38,0.06,-0.95,Falling Side
-0.06,0.46,-1.22,Falling Side
-2.53,,-2.84,Falling Side
-0.12,-0.52,-1.23,Falling Side
-0.77,0.64,-0.18,Falling Side
-0.82,1.16,-0.59,Falling Side
-0.2,0.73,0.17,Falling Side
-0.8,0.59,0.16,Falling Side
-0.07,0.62,0.58,Falling Side
-0.52,0.62,0.81,Falling Side
-0.6,1.12,0.58,Falling Side
-0.55,0.68,0.39,Falling Side
-0.54,0.67,0.34,Falling Side
-0.67,0.75,-0.04,Falling Side
-0.54,0.73,0.01,Falling Side
-0.57,0.57,-0.06,Falling Side
-0.7,0.28,-0.32,Falling Side
-0.83,0.01,-0.16,Falling Side
-1.24,-0.55,-1.09,Falling Side
-1.34,-0.13,-0.15,Falling Side
-0.59,-0.21,-0.35,Falling Side
-1.03,-0.06,-0.49,Falling Side
-0.86,-0.07,-0.27,Falling Side
-0.98,-0.08,-0.31,Falling Side
-0.97,-0.14,-0.22,Falling Side
-0.95,-0.17,-0.25,Falling Side
